Project Code,InternalId,Customer Name,Billing Budget,Costing Budget
SB21947,9947,NetApp Targus Roundtable Conference ,566389,413119
SB21954,9948,"Github Reconnect Series, Sep to Nov 2024",1241937,706351.4
SB21960,9949,Futureworks India 2024,7890000,4926692.35
SB21961,9950,Towards Webinar Promotion Services,335680,112786
SB21975,9951,Siemens R2R Townhall ,480306,306000
SB21981,9952,"Adobe ALM booth set-up, hotel Taj ",850000,137474
SB21982,9953,"Kia Inspiration Day, ",25313041,17335927
SB21983,9954,TVS Srichakra Eurogrip No Parking board,27520,24150
SB21984,9955,NatWest Signature Borad Campaign,32750,25000
SB21985,9956,Havas Apparelre Sources - ASW 2024,150000,134018
SB21986,9957,Cognizant TD Bank Client Visit,269236,220580
SB21987,9958,TVS Srichakra RRC/MMC/CPC Activity,31390,27717
SB21988,9959,Cognzinat Cr3own client Visit ,819005,639222
SB21989,9960,BP Townhall,628998.66,296318.33
SB21990,9961,Intel Altera Innovation Day,4963500,4592717.42
SB21991,9962,Intel  ConnectiON 2024 - Phase 1 ,9930859.96,4748000
SB21993,9963,"Brookfield Properties Gallery Set-up,",520190,238574
SB21995,9964,Ikea - Durga Utsav Event,3034350,1777483.89
SB21996,9965,Tech Data VEGAS Fest 2024,402500,251945
SB21997,9966,Redington CIO KLUB 2024,300840,213700
SB21998,9967,Novo Development All Leaders Meet 2024,1995730.62,1190729
SB21999,9968,Nikon booth set-up,3666447,2943714.5
SB22000,9969,stall in Didac India Expo,53120,34484.75
SB22001,9970, Intel Altera IMC Meeting ,825000,348030.48
SB22002,9971, IKEA  - Influencer Meet,2245584,1648897.5
SB22003,9972,Siemens - EHS Stall at CII,304464,248537
SB22004,9973,NetApp Ahmedabad,181887.5,88730
SB22005,9974,"Schneider Retailers Meet, ",3302404,2438223
SB22007,9975,Linkedin Creator’s Event,72600,30091
SB22008,9976,Amazon Big Bets Paper Inserts,1570800,1200000
SB22009,9977,RNTBCI Team Outing 2024,166100,121265
SB22010,9978,Veeva Systems Summit 2023,3465250,2761437.83
SB22012,9980,NetApp Sify Corp,876090.86,642558.61
SB22013,9981,Amazon Box Installation,1528120,929109
SB22015,9982,Siemens Energy_ Crystal Memento & Jute Bag,626789,359650
SB22016,9983,Hindustan Lab Day with Lakme Sunexpert Event ,774974,515516.85
SB22017,9984,HUL - FinAce Season 8 Finale Event,693500,306599.55
SB22018,9985,Towards stock footage,112725,84543.75
SB22019,9986,Hitachi ABM – Q3 tech workshops – multiple cities ,1245000,952500
SB22020,9987,Mahindra LMM,71500,24000
SB22021,9988,Danfoss IFAT Expo,511164,384219
SB22022,9989,TVS Srichakra Easel Stand for Shiprocket ,10750,10000
SB22023,9990,VISTA 5 YEARS FOUNDATION DAY ,2297922,1579546
SB22024,9991,Amazone Smart Home Gym Banner,30536,16268
SB22025,9992,"Siemens Townhall at Transformer Factory, ",471436.95,370785
SB22026,9993,"Siemens Advanta D- Manager Conclave at Pune,Gurgaon,Chennai & Bangalore",3392565.5,2706652.34
SB22027,9994,HUL Kedar's Farewell + HR All Stars 2024 ,1596210,1280587
SB22028,9995,LSIP Diwali Party,3366144,2462445.37
SB22029,9996,Cognizant - Loowis Client Visit,411290,313140
SB22030,9997,Cognizant Novartis Client Visit ,2511414.4,2020188.04
SB22031,9998,HPE Storage TBM Tele Lead generation Program ,5884010,4914843
SB22034,9999,HPE Sales Enablement with Wipro,4071097,3179889.65
SB22035,10000,Siemens -#OnTheMOon (5 cities),92858.5,34250
SB22036,10001,TVS Srichakra Backdrop setup,38484,23016
SB22037,10002,TVS Srichakra Eurogrip Store Launch ,111546,94500
SB22038,10003,AiSensy event by RV Global,2315786,1496394
SB22039,10004,TVS Srichakra for Shiprocket Recharge,32250,30300
SB22040,10005,NXP CEO Townhall,1976243,1481491
SB22041,10006,HUL - LFW Delhi x TRESemme Stall,3973402,3147323.03
SB22042,10007,Accenture Townhall ,240889,140000
SB22043,10008,Google YT Shopping accelerator ,42795151,26647633.96
SB22044,10009,Google YT Creator Collective with Lakme,2675778,639259
SB22045,10010,Adobe Elite Circle Mumbai & Bangalore,3280032,3181461
SB22046,10011,HPE CIC Visit arrangements,348662,252000
SB22047,10012,IGC 2024 - Taj Palace Delhi,4426556.53,2499318.56
SB22048,10013,OnePlus OEF in Bangkok,6225923,4696502.45
SB22049,10014,Virtual Event Production for Tata Ethics Case Study Competition 2024,256360,192270
SB22050,10015,Amazon Devices OS Townhall,1359963,1144753
SB22051,10016,Hyderabad Developer Workshop ,18645,7250
SB22052,10017,Siemens In Collabration with Snap Logic Event on 15th October,103831.4,50690
SB22053,10018,Siemens Ltd,76252.58,24485
SB22054,10019,Microsoft Ai Mixer 2024 ,3111324,2625760.4
SB22055,10020,SAP Innovation Day,3616045.4,2291320.49
SB22056,10021,Panasonic Broadcast India ,1804963,1573003.03
SB22057,10022,VST Diwali Family Day,1926650,1416948.76
SB22058,10023,TRESemme Lamellar Launch,3734337,2327023.83
SB22059,10024,Aditya Birla Sunlife Insurance Agency Meet 2024,1036409,999219
SB22060,10025,Novo Nordisk Apac Townhall,940337.2,511314
SB22061,10026,OnePlus HUFT Donation Boxes ,131841,80700
SB22062,10027,Siemens Switchboard 50 Years Celebration,1646855.78,1193731.47
SB22063,10028,Disney Hotstar - EPL Screening,694788.5,553329
SB22064,10029,IKEA - Societies Voucher Distribution,670367,453062
SB22065,10030,Blue Grass - Family Day,1486833,134800
SB22066,10031,Edward Jones Client Visit,221914,173650
SB22067,10032,Hartford Client Visit ,619239.5,498889.32
SB22068,10033,Expo Booth Nvidia AI Summit,884349,9617
SB22069,10034,HUL - October Events 2024 ,3679065.08,2395463.31
SB22070,10035,Redington NetApp event with Velocis,664855.5,462022.2
SB22072,10037,"NVIDIA AI Summit India at Jio World Center, Mumbai",742134.4,220432.8
SB22073,10038,"Sucess Gala  at Grand Sheraton, Chennai",1005156,688588.44
SB22074,10039,TVS Sub Dealer Meet At Ghaziabad,191232,163480
SB22075,10040,Siemens GBS APS Townhall,541683,384816
SB22076,10041,Kotak Townhall with the CEO,842319.8,673976
SB22077,10042,SAFETY CONCLAVE 2024,822332,630449.43
SB22078,10043,COGNIZANT Blackstone visit - Hyderabad H04 ,632808,427785
SB22079,10044,Cognizant Pega Symposia 2024 Event,2145113.96,1730469.11
SB22080,10045,Brookfield Properties Diwali Celebration  @ 5 locations,10520500,8260156
SB22081,10046,HUL -  LAKME x Nykaaland,2500730,1307870.17
SB22082,10047,NXP German Delegate event 2024,3106091,2124469.28
SB22083,10048,SAP Come Alive,321915,175445
SB22084,10049, Lotus Car Display @ 4 seasons,174900,94383
SB22085,10050,Amazone Transcend,245394.6,171652
SB22086,10051,Cogizant BAT Client visit ,640783,416540
SB22087,10052,Dell IE Multicity events ,14100000,11695633.17
SB22088,10053,Dell Qualcomm Launch,6639050,5049339.86
SB22089,10054,Dell IE Multicity events ,21900000,17069132.2
SB22090,10055,Vivo X200 immersion and Launch event,25528081,19312782.31
SB22091,10056,Booth Management at NVIDIA AI Summit,540171.72,411227.9
SB22092,10057,Cloudodyssey Diwali Gifting,361900,273000
SB22093,10058,Accenture AQA Education_Offsite,70422,55320
SB22094,10059,HPE Discover Booth Activation,498305,373728.75
SB22095,10060,Adobe ALM booth set up,300000,159202
SB22096,10061,DBS India Townhall Q4,737748,533601
SB22097,10062,Siemens Transform Innovation Day 2024,16500000,13938514.91
SB22098,10063,SAP Statutory Board Meeting,9393104.58,5535285.5
SB22099,10064,"Greenlam Design Nxt, Prague, Czech Republic,",2399999,1995505.89
SB22100,10065,Amazone  GIF event,121594,82500
SB22101,10066,Meta x Lakme Rouge Bloom at Meta,894242,709568
SB22102,10067,RWA Activity - Prestige St. Johnswood,107568,77104
SB22103,10068,PhonePe Diwali Booth - Pune,331771.68,190000
SB22104,10069,TVS Srichakra for Kari Motors,3010,2500
SB22105,10070, SAP Golf Clinic for Customers,3677740,2784912.61
SB22106,10071,RRC & MMC FOR PAN IND SEP24,31847,29159
SB22107,10072,Graphifiers Clean India Expo,1977366.7,1593037.65
SB22108,10073,DBS Bank Conference - Meet & Greet,364430,320458.41
SB22109,10074,DBS Bank - Filming Podcast ,98450,55922
SB22110,10075,DBS Dinner & Dance Event,3139842,2772257.97
SB22111,10076,Red Hat Govt / PSU Event– Re invent the Future- Tech Talks,2824355.95,1525725.24
SB22112,10077,THOUGHTWORKS X-Interview Shoot,275000,200000
SB22113,10078,Panasonic office brandings,347099,312086.06
SB22114,10079,VFS Global Dinner Event at the Hotel,4717462.5,3690934.38
SB22115,10080,Orient Electric Dealer Meet ,10000000,7379318
SB22117,10082,Towards Japan EBC eDM & RSVP,15000,11250
SB22118,10083,"SAP Grand Prix Jute Bags, Trophies",554777.5,329108
SB22119,10084,Siemens Mobility Townhall 2024,335891.48,208845.39
SB22120,10085,Dell Multicity events,24200000,17317735
SB22121,10086,HUL - B&W Global Visit,7293905,2974284.49
SB22122,10087,HUL - R&D Global Visit ,305986,121175
SB22123,10088,IKEA - Nov & Dec Activity,2474175,1399263
SB22124,10089,Winner & Partner Trophies for INDUS Conclave & SAP ACE Awards,2270075,2005600
SB22125,10090,Thoughtworks - Xconf 2024,2550110,1806668.36
SB22126,10091,HUL Women in STEM 2024 ,3100000,968947.97
SB22127,10092,India ELT Customer Roadshow,2928934.14,2100423.87
SB22128,10093,DBS India Singapore Connect Envelope printing,179025,7158
SB22129,10094,DBS Tech Roadshow,499917,280000
SB22130,10095,OnePlus Jam Night,88485,38202
SB22131,10096,Microsoft Manager's day at Jodhpur,9678132,8439053.06
SB22132,10097,My TVS Showroom Inauguration,202950,157410
SB22133,10098,TVS CERTIFIED Sign Board,99000,73926
SB22134,10099,Haleon Office Inauguration - Phase 2,228066.3,168403
SB22135,10100,TVS Eurogrip stall in Krishithon,1344395,971729.48
SB22136,10101,GOC Infinity 2024,13728189.2,10141323.45
SB22137,10102,HUL Lux - Meet & Greet ,1400000,798042.45
SB22138,10103,STT CIO CLUB Giveway ,203500,185000
SB22139,10104,HPE QBR 2024,4495685,4246057.6
SB22140,10105,Amazon - Leadership Offsite,730920.45,554945.9
SB22141,10106,Cognizant Nationwide Client Visit,734758.2,638479.99
SB22142,10107,ABG 15th Mission Happiness Leaders Meet 2024,903788,485179
SB22143,10108,Cognizant Beyond Boundaries Event ,31647,27506
SB22144,10109,Sap Innovation Days & Invent Finale,468237,194844
SB22145,10110,"India Fastener Show, 22-24 Nov 2024, PIEMC,",367000,285000
SB22146,10111,Cognizant India Team Connect,44440,40400
SB22147,10112,INTEL  Global AI Conclave CNBC,800000,529210.82
SB22148,10113,Accenture Natwest Event,183700,101152
SB22149,10114,HPE Secure AI-Ready Data Centers,1592250,1282475
SB22150,10115,Accenture Marriott Virtual Visit Broadcast,213400,96737
SB22151,10116,NatWest Video Shoot,72800,52000
SB22152,10117,Now Comms Asia of materials / resources ,111550,36000
SB22153,10118,TVS Eurogrip Store Launch @ Patna,39936.25,27000
SB22154,10119,Mahindra eSUV Launch Event,44617630.61,29521506.25
SB22155,10120,BYD Anniversary Celebration 20204,122823,86075.36
SB22156,10121,STT Pune Ai Lab Branding ,867267,20000
SB22157,10122,Talk in Graph Talk in Delhi ,1593752.8,808939.75
SB22158,10123,"Spark Minda Auto Expo 2025,",12761382,7821661
SB22159,10124,"VinFast Auto Expo 2025,",50990000,21238770
SB22160,10125,CIO ASSOCIATION,1808620,1527926.43
SB22161,10126,HUL - LAKME x MYNTRA,1500000,629985.75
SB22162,10127,Sify Zscaler Customer Event.,482132,98750
SB22163,10128,Accenture Mondelez Client Visit,80300,39008.86
SB22164,10129,Metal Chest Badge,47500,36500
SB22166,10130,DBS Bank CBG Townhall,96250,44385.8
SB22167,10131,Glaxo Haleon Branded Merchandise,675073.1,247495
SB22168,10132,Cognizant Nationwide Client Visit,396671,291324
SB22169,10133,Industry Participation : Digital Bharat Summit ,1259716.5,886060
SB22170,10134,Accenture Leadership Accelerator Program,2671544.5,1765585.95
SB22171,10135,Sahamati Samvaad 2024,5047660,3904061
SB22172,10136,Siemens _Channel Partner Certificates and Trophy ,330087.35,226040
SB22174,10138,Cognizant Writing Board Setup ,111100,100475
SB22175,10139,Hul B&W Workshop 2024,1105068,422896
SB22176,10140,Godrej agrovet booth at PepsiCo Expo 2024,900794,399611
SB22177,10141,Amazon INOPS P - XTraordinaire 2024,1520552,1044213
SB22178,10142,HUL - Capital Markets Day 2024,32852267,17885745.08
SB22179,10143,Blue Star India Food Forum,130823,101442.61
SB22180,10144,PhonePe booth BIC Indiranagar,20844,16079
SB22181,10145,STT GE Colocation ,353270.5,239742
SB22182,10146,Danfoss Data Center Stall 2024,53406,37000
SB22183,10147,Towards Idea Café Roundtable,1500000,1500000
SB22184,10148,Towards Webinar Promotions & Registrations,547625,410718.75
SB22185,10149,LTF Raise'24,12516692.82,7972323.33
SB22186,10150,"Hero IBU Meet at  JW Marriott, Vagator, Goa on 29th November - 1st December",3779727,3585364.3
SB22187,10151,Siemens Inno Rail Exbhition ,1840250,1288905
SB22188,10152,Metro Activation for Meta ,5887750,5004586
SB22189,10153,Amway NPF 3.0,6526623,5216147.8
SB22190,10154,Season of Smiles,3786475,2909000
SB22191,10155,Honda Amaze car launch,7905506,5262592.89
SB22192,10156," Stall in Cosmoprof India 2024 at Jasmine Hall 1, Jio World Convention Centre",259600,216230.34
SB22193,10157,TS Rajam Awards,131450,87415
SB22194,10158,Hul F&R Booth at India Food Forum,800000,693343.17
SB22195,10159,SAP Come Alive,302049,90000
SB22196,10160,Hilti Annual Kickoff 2025 ,18964880,13171800
SB22197,10161,Citi Bank - Digital Leadership Summit,2271196.74,1461602.73
SB22198,10162,GitHub Universe Recap ,617700,483613
SB22199,10163,Gulf Air Dealer Meet,225630,112382
SB22200,10164,amazon superstars event ,649880,450500
SB22201,10165,TVS Srichakra  RRC/MMC/CPC Activity ,144471.4,128001.26
SB22202,10166,Intel CS Day outing,147554.24,95630
SB22203,10167,stall International Indo Africa B2B trade show,600929,521706
SB22204,10168,Kia Syros Content making ,5600000,2892235.65
SB22205,10169,amazon Sambhav Collateral Decor,720339,332364
SB22206,10170,EPS Leadership meeting Bhubaneswar,1050185.4,954714.4
SB22207,10171,IRIS Biz by YES BANK,1549175,1262079.46
SB22208,10172,"Google GCS @ Google office,",1303397,419689
SB22209,10173,Cognizant Nationwide Client Visit,168300,89500
SB22210,10174,Intel  Laptop storage space for Q1 FY 2025,414964.73,311223.5475
SB22211,10175,Uniops GSA Awards,1934874,1647831
SB22212,10176,Hul B&W Global Investors Meet,15123187,9911747.13
SB22213,10177,Tvs Shiprocket recharge-Dec 2024,21500,20200
SB22214,10178,Google cloud family day,1186119,759825
SB22215,10179,First Basis Rupee Money Conference,1320000,882392
SB22216,10180,SAP Signavio Webinar,715000,650000
SB22217,10181,Renault Step Up 2024,235294.5,177136
SB22218,10182,Super Star Product Launch,2319150,1999640
SB22219,10183,Pinnacle CXO Dialogue Event,7700,3500
SB22220,10184,Amazone Year End Party,107800,73679
SB22221,10185,AstraZeneca Team Outing,139700,50889
SB22222,10186,Towards Demand Generation Campaign,1270000,1200000
SB22223,10187,Towards Webinar Registrations,507000,380250
SB22224,10188,SAP Come Alive ,1486322.2,970354
SB22225,10189,Loreal Kios Setup,264000,178586
SB22226,10190,Tvs Dealer Meet,107296.29,121385.5
SB22227,10191,SAP Annual Day Hyderabad 2024,2663421.28,2298425
SB22228,10192,CIO Association Family Day,1270843,930616
SB22229,10193,amazon- tech event,116820,81200
SB22230,10194,Cognizant Nationwide Client Visit ,471790,160000
SB22231,10195,GitHub India Icons,983679,739026
SB22232,10196,Amazon TGIF,118360,83027
SB22233,10197,Zomato Sustainability and Policy Conference,1748353,923846
SB22234,10198,Tata Giveaways,29613,7238
SB22235,10199,"LK Big announcement,",1232935,666228.26
SB22236,10200,Havmor AOP meet 2025,2602500,2050717.5
SB22237,10201,Accenture Smart Mining & Chemical Model,180000,170000
SB22238,10202,SAP build day 2024,1344079,848182
SB22239,10203,Brookprpo IPC Brookfield,2818920.5,2111154
SB22240,10204,Google App Dev event,987250,740437.5
SB22241,10205,Siemens mobility Branding,416572.18,227879
SB22242,10206,Executive Breifing Forum,1187115,958250
SB22243,10207,PhonePe BMM,1674972.43,1377421
SB22244,10208,Star Health Press Meet 2024,226800,158829
SB22245,10209,Havas Stall at TIE Global Summit.,204000,124500
SB22246,10210,"Vast Data India Tour, Grand Hyatt Mumbai",1456766,978905
SB22247,10211,Cognizant AKSO Visit Booth,151074,118660
SB22248,10212,Executive Breifing Forum,149600,112200
SB22249,10213,Hero Nakshatra in Baku,11685140,11047704
SB22250,10214,Cognizant Leadership Summit Udaipur,1493407.3,1234897
SB22251,10215,Dell Gift delivery for PTC Door Openers India,1737450,1237500
SB22252,10216,HUL - Prabhat Turns 11 2024,1600000,1104370.81
SB22253,10217,OnePlus Media Drive in Sri Lanka,6127633,5032889.38
SB22254,10218,"HPE Ignite in Athens, Greece",46500000,37620500
SB22255,10219,cognizant AIA Event logistic,806058,740828
SB22256,10220,Cognizant Musical evening - Hyderabad,1432519,1375471.99
SB22257,10221,Adobe ABM activities,1685000,1263750
SB22258,10222,Amazon SX-FCGT Meeting,695602,461623
SB22259,10223,Cognizant FSI Strategy Meet ,310750,241800
SB22260,10224,Christmas Decor - Multiple Sites,99110,55000
SB22261,10225,Cognizant Namma Mangaluru Beats,835796,702221
SB22262,10226,DBS Bank - Future of Ops Festival ,400400,261750
SB22263,10227,Google YT Creator Collective Q1 & Q2 2025,19679990,14759992.5
SB22264,10228,Red Hat Summit Connect 2024,1300000,975000
SB22265,10229,Nordisk EDM,11000,8250
SB22266,10230,GitHub Tech after dark Marquis,1829275,1162600
SB22267,10231,OnePlus Dealer Meet ,9458093,7431040.27
SB22268,10232,Hitachi Idea Cafe CIO events - Feb 2025,3411474,2100000
SB22269,10233,Herbalife FIT FAMILIES FEST 2025,11299417,3640000
SB22270,10234,Brookfield Properties Powai Run At Powai,3731486,2798614.5
SB22271,10235,NXP Stall at VLSID Conference At Bangalore,468214,351160.5
SB22272,10236,BYD Auto Expo 2025 @ Pragti Maidan,38283592,28712694
SB22273,10237,Towards India & Saarc Partner Summit event Execution @ Mumbai,2100263,1575197.25
SB22274,10238,Cognizant Permanent Setup @ Hyderabad,163680,122760
SB22275,10239,Star Health - SS Launch @ Bangalore,15660,11745
SB22276,10240,ITC Conquest Giveaway @ Bangalore,81840,61380
SB22277,10241,Adobe Elite Circle At Gurgaon,3234784,2426088
SB22278,10242,Delta Elecrama 2025 at Noida,14527205,10895403.75
SB22279,10243,OnePlus event & SAP Giveaways at Delhi,380600,285450
SB22280,10244,Cognizant Cultural Event @ Multicity,1451280,1088460
SB22281,10245,Ki Mobility myTVS A@ Yashobhoomi,3420956,2565717
SB22282,10246,Amazone  IESP,354542,265906.5
SB22283,10247,TVS Supply Chain Solution - TS Rajam Award,10450,7837.5
SB22284,10248,TVS Srichakra for Shiprocket ,21500,16125
SB22285,10249,Regency Ceramics Booth at Naredco Exhibition,657481,493110.75
SB22286,10250,Siemens MO for T-shirt & Acrylic badge,25107,18830.25
SB22287,10251,Siemens_ Customer Visit - Inauguration At Airoli,47183,35387.25
SB22288,10252,OnePlus Jam Night @ IIT Madras,655930,491947.5
SB22289,10253,SAP ALM Summit 2025,781000,585750
SB22290,10254,Redington Data Profiling,570000,427500
SB22291,10255,Siemens Walkathon 2025,873856,655392
SB22292,10256,Amazone Photographer Arrangemen,9350,7012.5
SB22293,10257,Aisle Experience,239424,179568
SB22294,10258,Cognizant Metal Badges,17462,13096.5
SB22296,10260,Lakme Stall at Mithibai Fest,300000,225000
SB22297,10261,YouTube Execs Meet up at Soho House Mumbai,622248,466686
SB22298,10262,LogiMAT India 2025,300000,225000
SB22299,10263,Cognizant Invesco Client Visit Badge,29920,22440
SB22300,10264,Siemens Energy Townhall Event ,300782,225586.5
SB22301,10265,Redington NetApp Partner Roundtable,838980,629235
SB22302,10266,Siemens SEIL : GST Registration,230844,173133
SB22303,10267,Lenovo EBC Tour,6182956,4637217
SB22304,10268,Siemens IMTEX 2025 ,286691,215018.25
SB22305,10269,Dell CSG Launch on 9th April in Andaz New Delhi,1650000,1237500
SB22306,10270,Dell ISG Launch 13th to 19th March,2000000,1500000
SB22307,10271,Vmware Tanzu Giveaways,739200,554400
SB22308,10272,OnePlus Podium Delivery at 6 stores,2098426,1573819.5
SB22309,10273,Ncpa Concert Delhi,1926850,1445137.5
SB22310,10274,Cognizant Alkem Laboratories Client Visit,70719,53039.25
SB22311,10275,Perno store promotion installation,252845,189633.75
SB22312,10276,Exclusive Lotus Showroom Launch,738925,554193.75
SB22313,10277,Autodesk IMTEX 2025,2271500,1703625
SB22314,10278,Siemens EA Awards 2025,477104,357828
SB22315,10279,Adobe ALM Gifting in Feb 2025,507136,380352
SB22316,10280,Infosys event & Giveaways in Feb 2025,1250000,937500
SB22317,10281,VCF Experience Day,1550000,1162500
SB22318,10282,Dell WPC & AI events in Feb 2025,9900000,7425000
SB22319,10283,Dell WPC events in March 2025,6600000,4950000
SB22320,10284,Dell AI & Innovation Forum events,3300000,2475000
SB22321,10285,Q4 Webinar Registration,516000,387000
SB22322,10286,HPE Team Event – FY25 Planning,550000,412500
SB22323,10287,Tele Lead Gen Campaign - Dragonfly accounts ,820000,615000
SB22324,10288,Hul Board Meeting 2025,6684335,5013251.25
SB22325,10622,"Infosys legal service delivery sessions. Venue management, merchandise, branding activation",627473,470604.75
SB22326,10289,Red Hat Tech Talks Series,3391394,2543545.5
SB22327,10290,Siemens Healthineers DC,8557172,6417879
SB22328,10291,Next Leap CHRO event,2178877,1634157.75
SB22329,10292,Sleepwell's Founders Day,5156545,3867408.75
SB22330,10293,OnePlus Snapshot masterclass,1162561,871920.75
SB22331,10294,Intel F2F Leadership meet 2025,2063730,1547797.5
SB22332,10295,Singapore GIC 15th Anniversary Celebration,4644563,3483422.25
SB22333,10296,DBS Podcast with Taimur Event,98450,73837.5
SB22334,10297,HUL - Taj Tea Stall,189796,142347
SB22335,10298,Brookfields Waterstones,1995312,1496484
SB22336,10299,Madras Music Academy,713927,535445.25
SB22337,10300,Glaxo Farewell Video for Raj,60500,45375
SB22338,10301,SAP Invent 3.0,711172,533379
SB22339,10302,Accenture Legal Learning Lab,96668,72501
SB22340,10303,KORA food Street Display Activity,184989,138741.75
SB22341,10304,Modiway Launch event,8761500,6571125
SB22342,10305,Accenture Can Do Awards,1169339,877004.25
SB22343,10306,OnePlus Pop-up,13000000,9750000
SB22344,10307,GitHub Galaxy 2025 ,10000000,7500000
SB22345,10308,IHCL STAR Awards 2024,4169000,3126750
SB22346,10309,Platinum Sponsor for BTOPEX India,1320000,990000
SB22347,10310,Orica Kshitej ,4216259,3162194.25
SB22348,10311,Accenture Manufacturing Futurecast,918258,688693.5
SB22349,10312,Tata Advanced Systems - Memento Order,69575,52181.25
SB22350,10313,HUL - Novology Booth at Dermacon 2025,5700687,4275515.25
SB22351,10314,HUL - Growth Leaders Forum,650283,487712.25
SB22352,10315,DBS Piyush Gupta Farewell,599940,449955
SB22353,10316,HUL Kissan Meeting 2025,495000,371250
SB22354,10317,HUL PC Summit,3543710,2657782.5
SB22355,10318,Siemens Mobility Meet 2025,722787,542090.25
SB22356,10319,RNTBCi Innovfest 25,763077,572307.75
SB22357,10320,KNMA Legacy Series,826100,619575
SB22358,10321,HPE Wipro partner day,849970,637477.5
SB22359,10322,Amazon Brand Film Amplification Plan,695800,521850
SB22360,10323,Citi Bank giveaways ,49500,37125
SB22361,10324," IKEA - Feb & Mar Activity from 7th Feb to 30th March 2025,",3091000,2318250
SB22362,10325,Amazon SPS Fire Side Chat,68068,51051
SB22363,10326,BIAL V day installations,1809005,1356753.75
SB22364,10327,Microsoft townhall @ MS Office Gurgaon,721000,540750
SB22365,10328,Siemens CS Global Workshop,64258,48193.5
SB22366,10329,NatWest Ruchika Panesar Town Hall Meet,328969,246726.75
SB22367,10330,Hitachi Yes Bank Tech Workshop Nashik,1000000,750000
SB22368,10331,Hul R&D Mumbai ,2111798,1583848.5
SB22369,10332,Siemens Energy Office branding,427650,320737.5
SB22370,10333,Accenture  Navigating caregiving – Diverse journeys and expert perspective,434500,325875
SB22371,10334,Cognizant CMD Town Hall Meet 2025,124960,93720
SB22372,10335,Itc Learnify Booth,100787,75590.25
SB22373,10336,Audi RSQ8 Launch event,4189907,3142430.25
SB22374,10337,Intel Laptop storage space,1591200,1193400
SB22375,10338,Siemens locomotive model ,292462,219346.5
SB22376,10339,Ascension Health Client Visit,363214,272410.5
SB22377,10340,INGKA - Hej Day,1311552,983664
SB22378,10341,Ola Roadster Launch,850049,637536.75
SB22379,10342,TATA Ethics & Affirmative Action Summit 2025,2041248,1530936
SB22380,10343,Aisle Valentines Day,313174,234880.5
SB22381,10344,Amway Star Awards,1500000,1125000
SB22382,10345,TATA Legal Meet ,3526391,2644793.25
SB22383,10346,Hul Pukka event,1000000,750000
SB22384,11219,NTT Data - Transformation NOW,1805742,1354306.5
SB22385,10347,GitHub Wipro Connect ,346580,259935
SB22386,10348,HUL West Branch Connect 2025,2682808,2012106
SB22387,10349,Hul CD conference 2025 ,5671000,4253250
SB22388,10350,Siemens SSP Launch ,1342236,1006677
SB22389,10351,Cognizant Crescendo,8887714,6665785.5
SB22390,10352,Captain fresh IPO kick-off event,885811,664358.25
SB22391,10353,Siemens - SRE Event,25157,18867.75
SB22392,10354,Lightspeed - Lift Off 2025,7769834,5827375.5
SB22393,10355,Siemens GBS Townhall Event,452837,339627.75
SB22394,10356,Siemens Veronika Townhall  2025,322650,241987.5
SB22395,10357,Hul Cornetto Stall at Zomaland,5001282,3750961.5
SB22396,10358,Dell CSG Launch event,2100000,1575000
