Internal ID,Sb code,Name,sb name,Updated Project Name
11457,SB22641,SB22641,Siemens GBS SSON Visit,SB22641 Siemens GBS SSON Visit
11459,SB22643,SB22643,AI@Walmart,SB22643 AI@Walmart
11471,SB22656,SB22656,OnePlus Masterclass,SB22656 OnePlus Masterclass
11455,SB22639,SB22639,BROOKFIELD DC VS RCB IPL,SB22639 BROOKFIELD DC VS RCB IPL
11431,SB22614,SB22614,Tally Mahasabha 2025,SB22614 Tally Mahasabha 2025
11435,SB22618,SB22618,Hyundai Global Service Seminar 2025,SB22618 Hyundai Global Service Seminar 2025
11452,SB22636,SB22636,Walmart Townhall,SB22636 Walmart Townhall
11453,SB22637,SB22637,Natwest Ruchika Town Hall Meet,SB22637 Natwest Ruchika Town Hall Meet
11466,SB22651,SB22651,Amazon IN Finance Career Day 2025,SB22651 Amazon IN Finance Career Day 2025
11474,SB22659,SB22659,Amazon Day One at Work,SB22659 Amazon Day One at Work
11475,SB22660,SB22660,HUL iSight App Showcase,SB22660 HUL iSight App Showcase
11454,SB22638,SB22638,Red Hat F & B,SB22638 Red Hat F & B
11460,SB22644,SB22644,Intel - Webinr Series for Audience Acquasition,SB22644 Intel - Webinr Series for Audience Acquasition
11469,SB22654,SB22654,Amazon Transcend Graduation,SB22654 Amazon Transcend Graduation
11477,SB22662,SB22662,Tata Fleet Management at Waves,SB22662 Tata Fleet Management at Waves
11476,SB22661,SB22661,Takasago Food solution centre Inauguration,SB22661 Takasago Food solution centre Inauguration
11482,SB22663,SB22663,Siemens Canteen Inauguration Event,SB22663 Siemens Canteen Inauguration Event
11456,SB22640,SB22640,YTCC X-Waves,SB22640 YTCC X-Waves
11481,SB22668,SB22668,Brookprop WATERSTONES,SB22668 Brookprop WATERSTONES
11463,SB22648,SB22648,Mahindra Press & Analyst Meet,SB22648 Mahindra Press & Analyst Meet
11465,SB22650,SB22650,Kotak Townhall with CEO,SB22650 Kotak Townhall with CEO
11480,SB22666,SB22666,HPE Aruba CXO Meet,SB22666 HPE Aruba CXO Meet
11625,SB22667,SB22667,40th Year Anniversary,SB22667 40th Year Anniversary
11432,SB22615,SB22615,Kia Clavis Hybrid ,SB22615 Kia Clavis Hybrid 
11442,SB22626,SB22626,Adobe Elite Circle,SB22626 Adobe Elite Circle
11437,SB22620,SB22620,Palo Cybersecurity Leadership Summitt ,SB22620 Palo Cybersecurity Leadership Summitt 
11479,SB22665,SB22665,CIO KERALA CHAPTER,SB22665 CIO KERALA CHAPTER
11468,SB22653,SB22653,SS Plate _SEIL Name Plates,SB22653 SS Plate _SEIL Name Plates
11478,SB22664,SB22664,Amway BBS Multicity events ,SB22664 Amway BBS Multicity events 
11445,SB22629,SB22629,STT Advantage Employee offsite,SB22629 STT Advantage Employee offsite
11470,SB22655,SB22655,Red ACE Program - Aditya Birla Group,SB22655 Red ACE Program - Aditya Birla Group
11473,SB22658,SB22658,Red Hat Immersion Day,SB22658 Red Hat Immersion Day
11472,SB22657,SB22657,Google YT Shopping Lifestyle edition ,SB22657 Google YT Shopping Lifestyle edition 
11444,SB22628,SB22628,Red ABM Account Day,SB22628 Red ABM Account Day
11447,SB22631,SB22631,Red Hat BFSI Summit ,SB22631 Red Hat BFSI Summit 
11450,SB22634,SB22634,Red Hat Immersion Day - Mumbai | Q2,SB22634 Red Hat Immersion Day - Mumbai | Q2
11446,SB22630,SB22630,Adobe Partner Summit hotel ,SB22630 Adobe Partner Summit hotel 
