External ID,Created by,Order By,Purchase Order Date,Particulars,Vendor,Vendor,Type of Expense,Nature of Document,Place of Supply,Subsidiary,Terms,Approval status,Branch,Line of business,Division,Department,Currency,Ship to,Item,Rate,Quantity,Amount,Project,HSN or SAC code,India Tax Nature,Nexus,Nexus Override ,Vendor Tax Reg number,Subsidiary tax reg number,Vendor Select
A/2025/PO/000035,,,08-01-2025,4Brains Technologies Pvt Ltd-Mum,4BrainsTechnologiesPvtLtd,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000036,,,08-01-2025,Future Generali India Insurance Co. Ltd.-Mum,FutureGeneraliIndiaInsuranceCo.Ltd.,Tax agency,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000037,,,08-01-2025,Greenix Experience Pvt Ltd-Mum,GreenixExperiencePvtLtd,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000038,,,08-01-2025,Utsara Sports Pvt Ltd (OTV)-Mum,UtsaraSportsPvtLtd(OTV),#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000039,,,08-01-2025,Musafir.Com India Pvt Ltd-Mum,Musafir.ComIndiaPvtLtd,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
C/2025/PO/000011,,,09-01-2025,Sri Jay Enterprises-Che,SriJayEnterprises,#N/A,,,,,,,Chennai,,,,,,,,,,,,,,,,,
C/2025/PO/000012,,,09-01-2025,Airtel Ltd(Bill Booking)-Mum,AirtelLtd(BillBooking),#N/A,,,,,,,Chennai,,,,,,,,,,,,,,,,,
C/2025/PO/000013,,,09-01-2025,Airtel Ltd(Bill Booking)-Mum,AirtelLtd(BillBooking),#N/A,,,,,,,Chennai,,,,,,,,,,,,,,,,,
C/2025/PO/000014,,,09-01-2025,Airtel Ltd(Bill Booking)-Mum,AirtelLtd(BillBooking),#N/A,,,,,,,Chennai,,,,,,,,,,,,,,,,,
A/2025/PO/Gen/0003,,,09-01-2025,Login Enterprises-Mum,LoginEnterprises,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000040,,,09-01-2025,Sportocraft Enterprises-Mum,SportocraftEnterprises,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000041,,,09-01-2025,Neetu Prakash Poojary Adv Account-CR,NeetuPrakashPoojaryAdvAccount,Tax agency,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000042,,,09-01-2025,Ushta Te Consultancy Services LLP-Mum,UshtaTeConsultancyServicesLLP,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000043,,,09-01-2025,Fisheye-Mum,Fisheye,Tax agency,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000044,,,09-01-2025,Login Enterprises-Mum,LoginEnterprises,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000045,,,09-01-2025,Emblaze Events (Sunita Harihar Sharma)-Mum,EmblazeEvents(SunitaHariharSharma),#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000049,,,09-01-2025,Shutterstock.Inc-Mum,Shutterstock.Inc,,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000078,,,10-01-2025,Mahendra Mane Advance-CR,MahendraManeAdvance,Tax agency,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000075,,,10-01-2025,Mahendra Mane Advance-CR,MahendraManeAdvance,Tax agency,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000073,,,10-01-2025,Mahendra Mane Advance-CR,MahendraManeAdvance,Tax agency,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000046,,,10-01-2025,The Indian Performing Right Society Ltd.-Mum,TheIndianPerformingRightSocietyLtd.,,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000047,,,10-01-2025,Phonographic Performance Limited-Mum,PhonographicPerformanceLimited,12256  Phonographic Performance Ltd,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000048,,,10-01-2025,Novex Communications Pvt. Ltd.-Mum,NovexCommunicationsPvt.Ltd.,Tax agency,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000050,,,10-01-2025,6Th Wall Production Pvt Ltd-Blr,6ThWallProductionPvtLtd,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000051,,,10-01-2025,Specs Care Audio Visual Pvt Ltd-Mum,SpecsCareAudioVisualPvtLtd,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000052,,,10-01-2025,Sajan Power-Mum,SajanPower,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
